Wall time,Step,Value
1495005681.012146,17097,0.90625
1495005681.0541942,17131,0.90625
1495005681.2301645,17202,0.9375
1495005681.2731726,17239,0.890625
1495005681.315207,17272,0.953125
1495005681.3386707,17290,0.859375
1495005681.3416038,17292,0.8828125
1495005681.37191,17315,0.9296875
1495005681.3728876,17316,0.9375
1495005681.3738644,17317,0.9375
1495005681.3777847,17320,0.9453125
1495005681.4012368,17339,0.921875
1495005681.4413192,17374,0.9375
1495005681.4784687,17405,0.90625
1495005681.5244167,17444,0.875
1495005681.5361476,17454,0.9453125
1495005681.6387973,17543,0.921875
1495005681.655417,17557,0.9375
1495005681.6886666,17586,0.9296875
1495005681.7893515,17594,0.953125
1495005681.823567,17623,0.90625
1495005681.9467566,17722,0.8828125
1495005682.2175457,17953,0.921875
1495005682.2468848,17978,0.953125
1495005682.250785,17981,0.9375
1495005682.2615495,17990,0.921875
1495005682.3856971,18018,0.8515625
1495005682.4267573,18053,0.8671875
1495005682.4414308,18065,0.875
1495005682.5147414,18129,0.90625
1495005682.6828914,18264,0.9140625
1495005682.7474134,18318,0.90625
1495005683.107177,18451,0.953125
1495005683.108154,18452,0.8984375
1495005683.2841249,18592,0.9375
1495005683.4297893,18713,0.90625
1495005683.4385881,18720,0.9296875
1495005683.5881631,18845,0.8828125
1495005683.7758677,18893,0.9375
1495005683.9019804,18958,0.953125
1495005683.9322858,18977,0.9140625
1495005683.97921,19005,0.90625
1495005684.0075605,19027,0.953125
1495005684.0329785,19048,0.8984375
1495005684.1160777,19116,0.8984375
1495005684.182554,19169,0.875
1495005684.2529423,19227,0.9453125
1495005684.3077023,19271,0.90625
1495005684.3458161,19300,0.96875
1495005684.660609,19485,0.953125
1495005684.679183,19500,0.9140625
1495005684.6830943,19503,0.921875
1495005684.7085245,19525,0.8984375
1495005684.7153544,19531,0.8984375
1495005684.7720575,19579,0.890625
1495005684.7906315,19594,0.9296875
1495005684.8443997,19640,0.9296875
1495005684.8600523,19654,0.8671875
1495005684.8727512,19665,0.8828125
1495005684.9382615,19720,0.8828125
1495005684.9519384,19731,0.890625
1495005685.0506783,19737,0.9375
1495005685.120098,19796,0.9453125
1495005685.1523495,19823,0.90625
1495005685.1816788,19846,0.953125
1495005685.2686956,19916,0.90625
1495005685.295081,19938,0.875
1495005685.3341856,19971,0.8984375
1495005685.354715,19988,0.921875
1495005685.363515,19995,0.859375
1495005685.4104497,20035,0.875
1495005685.4309702,20053,0.890625
1495005685.4388041,20059,0.90625
1495005685.4427006,20062,0.921875
1495005685.5355818,20138,0.9296875
1495005685.5375316,20139,0.9140625
1495005685.687106,20186,0.9140625
1495005685.7262092,20217,0.8984375
1495005685.760426,20244,0.90625
1495005685.7643366,20247,0.9140625
1495005685.7721574,20252,0.9375
1495005685.8523228,20308,0.9140625
1495005685.8708973,20323,0.8828125
1495005685.884583,20334,0.9296875
1495005685.9471512,20383,0.953125
1495005686.0195043,20440,0.890625
1495005686.0761971,20485,0.90625
1495005686.1289878,20526,0.8984375
1495005686.1446297,20539,0.9140625
1495005686.146585,20540,0.890625
1495005686.1729803,20562,0.9453125
1495005686.1798244,20567,0.890625
1495005686.1935096,20578,0.9453125
1495005686.4193392,20689,0.875
1495005686.4457355,20710,0.8984375
1495005686.532744,20779,0.9375
1495005686.5366545,20782,0.921875
1495005686.5376318,20783,0.8984375
1495005686.5992212,20831,0.9609375
1495005686.626594,20855,0.8515625
1495005686.6960046,20913,0.921875
1495005686.7830117,20987,0.9296875
1495005686.923807,21027,0.890625
1495005686.9716918,21067,0.90625
1495005686.9863567,21080,0.921875
1495005687.068477,21144,0.9140625
1495005687.152552,21209,0.90625
1495005687.1789472,21232,0.921875
1495005687.2796514,21316,0.8828125
1495005687.2835524,21319,0.90625
1495005687.2903945,21324,0.9453125
1495005687.3734932,21391,0.90625
1495005687.3949997,21409,0.921875
1495005687.5729268,21484,0.875
1495005687.6178975,21523,0.890625
1495005687.8144078,21681,0.890625
1495005687.866211,21723,0.9140625
1495005687.867188,21724,0.90625
1495005687.945399,21789,0.9375
1495005687.9522407,21795,0.859375
1495005687.9845023,21821,0.9453125
1495005688.008942,21842,0.8984375
1495005688.0157874,21848,0.9375
1495005688.24357,21967,0.9140625
1495005688.2856083,21999,0.9296875
